id,name,value,timestamp,createdTimestamp,workstationCode,workstationId,workstationComponent,nameId,rawName
a19f8be0131b97799d0a6741,heartbeat,1721692730341,2024-07-22T23:58:50.341068+00:00,2024-07-22T23:58:50.341046+00:00,LSTBIAPPS1_NL250007_013,62150e7765040401caf0990c,datatap,7ed88ec1abb4eb08,1721692730341
7a9a7d39b19fd3f9956c6afc,counter.last30seventscount,1,2024-07-22T23:58:50.567060+00:00,2024-07-22T23:58:50.567013+00:00,LSTBIAPPS1_NL250007_013,62150e7765040401caf0990c,,d7ce7e471f79925d,1
e290250610711875c241c104,counter.last30seventscount,0,2024-07-22T23:59:20.569020+00:00,2024-07-22T23:59:20.568936+00:00,LSTBIAPPS1_NL250007_013,62150e7765040401caf0990c,,d7ce7e471f79925d,0
834da53b37ad5df5f8383e63,heartbeat,1721693630342,2024-07-23T00:13:50.342115+00:00,2024-07-23T00:13:50.342094+00:00,LSTBIAPPS1_NL250007_013,62150e7765040401caf0990c,datatap,7ed88ec1abb4eb08,1721693630342
52d0192aacc40de07e410990,counter.last30seventscount,1,2024-07-23T00:13:50.610513+00:00,2024-07-23T00:13:50.610410+00:00,LSTBIAPPS1_NL250007_013,62150e7765040401caf0990c,,d7ce7e471f79925d,1
452a61a7f92b1669f359ba0b,counter.last30seventscount,0,2024-07-23T00:14:20.612459+00:00,2024-07-23T00:14:20.612423+00:00,LSTBIAPPS1_NL250007_013,62150e7765040401caf0990c,,d7ce7e471f79925d,0
7658343136a48f71563fa646,heartbeat,1721694530352,2024-07-23T00:28:50.352515+00:00,2024-07-23T00:28:50.352489+00:00,LSTBIAPPS1_NL250007_013,62150e7765040401caf0990c,datatap,7ed88ec1abb4eb08,1721694530352
66cdfba3e830e85205bc87e7,counter.last30seventscount,1,2024-07-23T00:28:50.665175+00:00,2024-07-23T00:28:50.665105+00:00,LSTBIAPPS1_NL250007_013,62150e7765040401caf0990c,,d7ce7e471f79925d,1
78721c2ee76d8d92493acaac,counter.last30seventscount,0,2024-07-23T00:29:20.666340+00:00,2024-07-23T00:29:20.666286+00:00,LSTBIAPPS1_NL250007_013,62150e7765040401caf0990c,,d7ce7e471f79925d,0
abd566f5e9c927944ae252d5,heartbeat,1721695430355,2024-07-23T00:43:50.355355+00:00,2024-07-23T00:43:50.355333+00:00,LSTBIAPPS1_NL250007_013,62150e7765040401caf0990c,datatap,7ed88ec1abb4eb08,1721695430355
4df36bac3b83c221332ab2e0,counter.last30seventscount,1,2024-07-23T00:43:50.708872+00:00,2024-07-23T00:43:50.708834+00:00,LSTBIAPPS1_NL250007_013,62150e7765040401caf0990c,,d7ce7e471f79925d,1
f20f5e0116f49d2ef1f9c1cc,counter.last30seventscount,0,2024-07-23T00:44:20.709866+00:00,2024-07-23T00:44:20.709814+00:00,LSTBIAPPS1_NL250007_013,62150e7765040401caf0990c,,d7ce7e471f79925d,0
907e68fa50df3357613148f5,heartbeat,1721696690144,2024-07-23T01:04:50.144270+00:00,2024-07-23T01:04:50.144254+00:00,LSTBIAPPS1_NL250007_013,62150e7765040401caf0990c,datatap,7ed88ec1abb4eb08,1721696690144
